name_x,abv,ibu,style,ounces,name_y,city,state
Bitter Bitch,0.061,60,American Pale Ale (APA),12,18th Street Brewery,Gary, IN
Lower De Boom,0.099,92,American Barleywine,8.4,21st Amendment Brewery,San Francisco, CA
Fireside Chat,0.079,45,Winter Warmer,12,21st Amendment Brewery,San Francisco, CA
Bitter American,0.044,42,American Pale Ale (APA),12,21st Amendment Brewery,San Francisco, CA
Hell or High Watermelon Wheat (2009),0.049,17,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA
21st Amendment Watermelon Wheat Beer (2006),0.049,17,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA
21st Amendment IPA (2006),0.07,70,American IPA,12,21st Amendment Brewery,San Francisco, CA
Brew Free! or Die IPA (2008),0.07,70,American IPA,12,21st Amendment Brewery,San Francisco, CA
Brew Free! or Die IPA (2009),0.07,70,American IPA,12,21st Amendment Brewery,San Francisco, CA
Special Edition: Allies Win The War!,0.085,52,English Strong Ale,12,21st Amendment Brewery,San Francisco, CA
Hop Crisis,0.097,94,American Double / Imperial IPA,12,21st Amendment Brewery,San Francisco, CA
Bitter American (2011),0.044,42,American Pale Ale (APA),12,21st Amendment Brewery,San Francisco, CA
Fireside Chat (2010),0.079,45,Winter Warmer,12,21st Amendment Brewery,San Francisco, CA
Back in Black,0.068,65,American Black Ale,12,21st Amendment Brewery,San Francisco, CA
Monk's Blood,0.083,35,Belgian Dark Ale,12,21st Amendment Brewery,San Francisco, CA
Brew Free! or Die IPA,0.07,65,American IPA,12,21st Amendment Brewery,San Francisco, CA
Hell or High Watermelon Wheat,0.049,17,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA
Bimini Twist,0.07,82,American IPA,12,3 Daughters Brewing,St Petersburg, FL
Passion Fruit Prussia,0.035,11,Berliner Weissbier,12,4 Hands Brewing Company,Saint Louis, MO
Send Help,0.045,18,American Blonde Ale,12,4 Hands Brewing Company,Saint Louis, MO
Contact High,0.05,28,American Pale Wheat Ale,12,4 Hands Brewing Company,Saint Louis, MO
Citrafest,0.05,45,American IPA,16,450 North Brewing Company,Columbus, IN
Scarecrow,0.069,65,American IPA,16,450 North Brewing Company,Columbus, IN
Ironman,0.09,50,English Strong Ale,16,450 North Brewing Company,Columbus, IN
Honey Kolsch,0.046,15,Kölsch,16,450 North Brewing Company,Columbus, IN
Copperhead Amber,0.052,18,Belgian Dark Ale,16,450 North Brewing Company,Columbus, IN
Rude Parrot IPA,0.059,75,American IPA,16,7 Seas Brewing Company,Gig Harbor, WA
British Pale Ale (2010),0.054,30,English Pale Ale,16,7 Seas Brewing Company,Gig Harbor, WA
British Pale Ale,0.054,30,English Pale Ale,16,7 Seas Brewing Company,Gig Harbor, WA
Ballz Deep Double IPA,0.084,82,American Double / Imperial IPA,16,7 Seas Brewing Company,Gig Harbor, WA
Colorado Native,0.055,26,American Amber / Red Lager,12,AC Golden Brewing Company,Golden, CO
